Cash Transaction Listing - Detail

"Start date","28/09/2022"
"End date","30/06/2025"
"Client name","Gambit Resources Trust"
"Client number","301585"
"Account number","WRAP075820"
"Product name","netwealth Wealth Accelerator"
"Asset holding options","All assets"
"Cash transaction listing options","Integrated Listing (including Managed Account transactions)"

Cash position at 30 June 2025
"Description","$"
"Cash Account - Available Cash","4143.89"
"Cash Account - Minimum Cash","5000.00"
"Cash Account - Pending","0"
"Cash Balance","9143.89"

Transactions by type
"Description","Amount"
"Opening Cash Balance","0.0"
"Administration Fees","-6279.74"
"Asset Purchase","-2901944.69"
"Asset Sale","696915.66"
"Asset Transfer In - Cash Adjustment","435502.75"
"Brokerage Fee","-2220.67"
"Cash Account Interest","2805.62"
"Distribution","96881.08"
"Family Fee Rebate - Administration Fees","1195.34"
"Fixed Term Advice Fee","-21846.61"
"Fund Manager Fee Rebate","234.55"
"Investment","1088349.58"
"Savings Plan","1000000.00"
"Transfer In","-178390.20"
"Withdrawal","-202058.78"
"Closing Cash Balance","9143.89"

Cash transactions
"Effective Date","Description","EFTReference","Narration","Employer","Asset","Code","Units","Debits","Credits","Cash balance","Purchase price","Sale price","TransactionListing Summary Group","Processed Date"
"30/06/2025","Closing Cash Balance","","","","","","0","0","0","9143.89","0","0","",""
"30/06/2025","Cash Account Interest","","","","Cash Account","","0.000000","0","26.19","9143.89","0","0","Cash account interest","03/07/2025"
"30/06/2025","Family Fee Rebate - Administration Fees","","","","","","0.000000","0","36.63","9117.70","0","0","Rebates & rewards","03/07/2025"
"30/06/2025","Fixed Term Advice Fee","","","","","","0.000000","717.53","0","9081.07","0","0","Advice fees","02/07/2025"
"30/06/2025","Administration Fees","","","","","","0.000000","205.48","0","9798.60","0","0","Administration costs","02/07/2025"
"24/06/2025","Withdrawal","","Compliance Fees","","","","0.000000","618.00","0","10004.08","0","0","Withdrawals & payments (inc Transfer-outs)","25/06/2025"
"31/05/2025","Cash Account Interest","","","","Cash Account","","0.000000","0","36.56","10622.08","0","0","Cash account interest","04/06/2025"
"31/05/2025","Family Fee Rebate - Administration Fees","","","","","","0.000000","0","38.43","10585.52","0","0","Rebates & rewards","03/06/2025"
"31/05/2025","Fixed Term Advice Fee","","","","","","0.000000","741.45","0","10547.09","0","0","Advice fees","02/06/2025"
"31/05/2025","Administration Fees","","","","","","0.000000","212.33","0","11288.54","0","0","Administration costs","02/06/2025"
"07/05/2025","Withdrawal","","UPE to Ben","","","","0.000000","10000.00","0","11500.87","0","0","Withdrawals & payments (inc Transfer-outs)","08/05/2025"
"30/04/2025","Cash Account Interest","","","","Cash Account","","0.000000","0","41.15","21500.87","0","0","Cash account interest","05/05/2025"
"30/04/2025","Family Fee Rebate - Administration Fees","","","","","","0.000000","0","41.99","21459.72","0","0","Rebates & rewards","02/05/2025"
"30/04/2025","Fixed Term Advice Fee","","","","","","0.000000","717.53","0","21417.73","0","0","Advice fees","02/05/2025"
"30/04/2025","Administration Fees","","","","","","0.000000","205.48","0","22135.26","0","0","Administration costs","02/05/2025"
"22/04/2025","Distribution","","","","Vanguard All-World Ex-US Shares Index ETF","VEU","0.000000","0","318.60","22340.74","0","0","Distributions (inc dividends)","23/04/2025"
"16/04/2025","Distribution","","","","Vanguard MSCI Index International Shares ETF","VGS","0.000000","0","4700.50","22022.14","0","0","Distributions (inc dividends)","17/04/2025"
