Cash Transaction Listing - Detail

"Start date","12/09/2022"
"End date","30/06/2025"
"Client name","Gambit Capital Pty Ltd"
"Client number","301567"
"Account number","WRAP075815"
"Product name","netwealth Wealth Accelerator"
"Asset holding options","All assets"
"Cash transaction listing options","Integrated Listing (including Managed Account transactions)"

Cash position at 30 June 2025
"Description","$"
"Cash Account - Available Cash","2008.47"
"Cash Account - Minimum Cash","511.35"
"Cash Account - Pending","0"
"Cash Balance","2519.82"

Transactions by type
"Description","Amount"
"Opening Cash Balance","0.0"
"Administration Fees","-1848.24"
"Asset Purchase","-298176.32"
"Asset Sale","310550.41"
"Brokerage Fee","-63.24"
"Cash Account Interest","1063.75"
"Distribution","11304.90"
"Family Fee Rebate - Administration Fees","328.70"
"Investment","299245.85"
"Withdrawal","-319885.99"
"Closing Cash Balance","2519.82"

Cash transactions
"Effective Date","Description","EFTReference","Narration","Employer","Asset","Code","Units","Debits","Credits","Cash balance","Purchase price","Sale price","TransactionListing Summary Group","Processed Date"
"30/06/2025","Closing Cash Balance","","","","","","0","0","0","2519.82","0","0","",""
"30/06/2025","Cash Account Interest","","","","Cash Account","","0.000000","0","34.78","2519.82","0","0","Cash account interest","03/07/2025"
"30/06/2025","Family Fee Rebate - Administration Fees","","","","","","0.000000","0","7.82","2485.04","0","0","Rebates & rewards","03/07/2025"
"30/06/2025","Administration Fees","","","","","","0.000000","44.60","0","2477.22","0","0","Administration costs","02/07/2025"
"30/06/2025","Withdrawal","","FY25 Distributions","","","","0.000000","106000.00","0","2521.82","0","0","Withdrawals & payments (inc Transfer-outs)","30/06/2025"
"24/06/2025","Asset Sale","","","","Vanguard High Growth Index Fund","VAN0111AU","-17885.417949","0","38151.38","108521.82","0","2.13","Asset Sales","27/06/2025"
"24/06/2025","Asset Sale","","","","GCQ Flagship Fund - Class P","SPC5039AU","-34189.368159","0","68720.63","70370.44","0","2.01","Asset Sales","30/06/2025"
"24/06/2025","Withdrawal","","Compliance Fee","","","","0.000000","318.00","0","1649.81","0","0","Withdrawals & payments (inc Transfer-outs)","25/06/2025"
"31/05/2025","Cash Account Interest","","","","Cash Account","","0.000000","0","7.70","1967.81","0","0","Cash account interest","04/06/2025"
"31/05/2025","Family Fee Rebate - Administration Fees","","","","","","0.000000","0","8.49","1960.11","0","0","Rebates & rewards","03/06/2025"
